epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,0.11620856821537018,0.36268189549446106,0.08188953250646591,0.2852560579776764
1,0.0010000000474974513,0.09222743660211563,0.32030415534973145,0.07851652055978775,0.27631229162216187
2,0.0010000000474974513,0.08456356078386307,0.30574938654899597,0.07841400057077408,0.27774813771247864
3,0.0010000000474974513,0.0794898048043251,0.2957896292209625,0.07915250211954117,0.2794400155544281
4,0.0010000000474974513,0.07568808645009995,0.28836554288864136,0.08820265531539917,0.29776549339294434
5,0.0010000000474974513,0.07282111793756485,0.2827465236186981,0.08206447958946228,0.28648462891578674
6,0.0010000000474974513,0.07054231315851212,0.278280109167099,0.08178654313087463,0.28792479634284973
7,0.0010000000474974513,0.06854608654975891,0.27427491545677185,0.08154051005840302,0.2874284088611603
8,0.0010000000474974513,0.06673169136047363,0.27040016651153564,0.08069125562906265,0.28678470849990845
9,0.0010000000474974513,0.0653480812907219,0.2678283154964447,0.08335638046264648,0.2917770445346832
10,0.0005000000237487257,0.06089098006486893,0.2583468556404114,0.07979264110326767,0.2848008871078491
11,0.0005000000237487257,0.05947377160191536,0.2554032802581787,0.08112417906522751,0.28721433877944946
12,0.0005000000237487257,0.05838944762945175,0.2531014680862427,0.088058240711689,0.298781156539917
13,0.0005000000237487257,0.057594653218984604,0.2513990104198456,0.08795735985040665,0.2994031608104706
14,0.0005000000237487257,0.05681780353188515,0.24980364739894867,0.08575474470853806,0.2945197522640228
15,0.0005000000237487257,0.05605665594339371,0.24811702966690063,0.08665751665830612,0.29627716541290283
16,0.0005000000237487257,0.05554042384028435,0.24698156118392944,0.08420052379369736,0.2914016544818878
17,0.0002500000118743628,0.05337781086564064,0.24222105741500854,0.08893933892250061,0.29929205775260925
