session,category,duration,ins_drift,ai_drift,ekf_drift,seamless_drift,battery_savings
M,M (Driver B),10598.564999999999,0.7862114258193825,0.1592761485371598,131.17303858298152,13.826151317550428,99.89997546568026
S1,S (Driver A),5174.499000000001,0.8233666667986259,0.10373601093234437,118.48062180380188,6.9716216605648045,99.80481583117536
S2,S (Driver A),9387.5,0.03147759750170527,0.025064980501973422,15.247845963641396,0.5743918586363669,100.0
S3a,S (Driver A),2462.0,0.5344496082304891,0.17362987883271055,62.22973406438567,0.49169844454896244,100.0
S3b,S (Driver A),681.1999999999998,1.9028343223405357,1.6555687358116986,125.93437140290973,15.046853937676966,100.0
S3c,S (Driver A),3718.199,0.6228921268814956,0.4563313321197313,13.083740463666713,0.39494516860353335,99.71761288760993
S4,S (Driver A),9459.899,0.005934922319726065,0.06074459739548393,35.33207302275929,0.24914390979320905,99.77801268498943
Vfa01,Vf (Driver E),1148.5,0.8922943446937205,0.3826864602664084,257.4096773012454,434.1386691888493,100.0
Vfa02,Vf (Driver E),6752.201,0.20100281172799375,0.19179398094745012,16.26817514905657,0.034553039835269625,100.0
Vta10,Vta (Driver E),150.10000000000014,36.37423458536317,25.101023512897985,58.11998286851183,22.451605363291,100.0
Vta11,Vta (Driver E),50.90000000000009,67.96763652209675,23.18233195490594,41.970820924637756,72.2865039849933,100.0
Vta12,Vta (Driver E),60.90000000000009,26.87654406497138,38.27125678667373,18.609481680669816,4.912612787041612,100.0
Vta13,Vta (Driver E),40.30099999999993,49.44684476675362,41.637158392925535,40.72473552188272,44.1015751047314,100.0
Vta14,Vta (Driver E),288.39999999999986,2.051820498020066,1.2287686064470271,14.31791201309656,3.200373520897544,100.0
Vta15,Vta (Driver E),83.20000000000005,41.488534471960506,25.088623008873164,39.40369085017758,45.33369740849383,100.0
Vta16,Vta (Driver E),1133.4,0.6753003600227552,0.6979083622455439,34.68646492712514,0.8534120820894976,100.0
Vta17,Vta (Driver E),452.9859999999999,49.368828267374894,6.674927335302083,38.62659857509204,46.76823933666164,100.0
Vta19,Vta (Driver E),29.101000000000113,59.59124123598717,31.385233559042142,26.598259630375487,2.1967989730953796,100.0
Vta1a,Vta (Driver E),2567.499,4.230053430938059,2.0291092747208914,25.482885037418946,2.9112112900357223,100.0
Vta1b,Vta (Driver E),95.30000000000018,403.6347177544202,2.888940924262516,188.34855700566877,398.1074357768655,100.0
Vta2,Vta (Driver E),1098.998,0.9478102357572318,0.33499429201877234,127.37094481877978,21.191170334618906,100.0
Vta20,Vta (Driver E),322.2,301.10530706431075,114.77359099168115,167.4720829174238,75.82409265381287,100.0
Vta21,Vta (Driver E),207.8,15.777961288177906,6.599761462480124,32.52150930113411,47.65998045123088,90.62049062049061
Vta22,Vta (Driver E),156.30099999999993,4.239869426268765,1.1764997313616343,37.09710442522666,1.8254508656067612,100.0
Vta23,Vta (Driver E),110.89999999999998,66.69832922301767,9.7662035653034,44.523364146281786,50.40232661351093,100.0
Vta24,Vta (Driver E),117.00099999999998,163.8952738566102,30.585360516682865,83.44210276472054,144.19825744713816,100.0
Vta25,Vta (Driver E),64.49800000000005,403.14321778512164,46.80141195967446,218.24573512729762,245.89340733217142,100.0
Vta26,Vta (Driver E),193.39999999999998,12.455565013089606,7.161630781926695,50.73624666527892,6.714916089901612,100.0
Vta27,Vta (Driver E),253.9000000000001,68.98858102012237,20.54907421814745,100.76245867917383,137.8162979779727,100.0
Vta28,Vta (Driver E),420.9000000000001,0.011459910572860315,0.027673866258037513,74.31908405069584,24.525153091560636,100.0
Vta29,Vta (Driver E),2369.7780000000002,2.1097407402147463,0.7815201243127163,42.74770949236076,13.317956838077713,100.0
Vta3,Vta (Driver E),64400.0,10550.243806687113,709.6332494702624,1145397.0037088585,22966.344607970303,100.0
Vta30,Vta (Driver E),1713.5,6.03661570374895,1.283124950011127,184.13305623939704,649.2603208963013,97.09967320261438
Vta4,Vta (Driver E),178.799,51.05579181402771,18.71274063953163,35.32487131375209,12.278521492740449,100.0
Vta5,Vta (Driver E),30.600000000000023,6.415653503080983,36.69752959715964,23.3214541405926,27.891551343717108,100.0
Vta6,Vta (Driver E),137.5,0.24905216398970192,1.856461744224688,86.73254172961734,94.20602006786397,100.0
Vta7,Vta (Driver E),83.90000000000003,12.808423508950389,5.545167838990241,67.6710385065175,87.48852025527823,100.0
Vta8,Vta (Driver E),367.5,0.29470880668538163,0.7063611889961292,43.24736474903486,0.4070776895353083,100.0
Vta9,Vta (Driver E),15.497999999999934,28.82647526031952,53.02200616013497,46.47707402462924,65.7109468754178,100.0
Vtb1,Vtb (Driver E),3245.799,0.6613785051020721,0.30768013773058817,8.781799329676668,0.24937918526929725,85.91453834067593
Vtb10,Vtb (Driver E),19.50000000000091,38.41116607913698,22.020715760199998,36.34998321742909,36.83717796266057,100.0
Vtb11,Vtb (Driver E),36.0,22.101149691956916,34.58769627079485,10.683217168854332,1.6274641867140571,100.0
Vtb12,Vtb (Driver E),44.60099999999875,92.02873900046637,23.859304740789735,40.15247529884643,79.81148965223261,100.0
Vtb2,Vtb (Driver E),571.1,7.886198707366604,4.146431845771784,42.33858801719849,4.77100649739686,100.0
Vtb3,Vtb (Driver E),823.9,23.781285664270474,12.349096782411713,1146.4606544411338,5.095603489869862,93.94417475728156
Vtb4,Vtb (Driver E),55.5,118.19938750019112,19.581085627424674,56.291667273863055,85.18738349913404,100.0
Vtb5,Vtb (Driver E),6438.701,0.5453263180231277,0.5918493553931181,10.730474804904668,0.7467788204888424,100.0
Vtb6,Vtb (Driver E),49.69999999999982,10.73480201019316,32.780517791276516,18.30496304777192,15.836574301671726,100.0
Vtb7,Vtb (Driver E),46.001000000000204,74.51010137297587,47.85095879859193,57.951968709158976,75.58446353787673,100.0
Vtb8,Vtb (Driver E),66.69999999999982,56.539594795135194,49.26679124332796,50.80946651385643,58.808482172366595,100.0
Vtb9,Vtb (Driver E),45.09900000000016,9.882742124335625,12.110910598110275,20.548400974589214,8.11699265086705,100.0
Vw1,Vw (Driver E),2047.5,578.7422526822264,169.62528653513746,95178.14810210987,36508.1231150027,100.0
Vw10,Vw (Driver E),65.10000000000036,14.48750396169996,8.134704157393973,44.979404258757484,26.55364864180613,100.0
Vw11,Vw (Driver E),490.7999999999993,8.328501328685642,5.83543700470947,86.60844932217863,62.34825247965497,100.0
Vw12,Vw (Driver E),91700.0,120.07802799433482,74.16470029000426,100433.53902322314,283.4092249359643,100.0
Vw13,Vw (Driver E),28300.0,479.0229957510369,188.78084249530784,94767.6091935323,1304.6126430099373,100.0
Vw14a,Vw (Driver E),313.70000000000005,10.380032746493725,5.277244589643729,75.30304657010534,120.20386153098521,100.0
Vw14b,Vw (Driver E),1958.701,3.5740577563361535,0.5266850529535031,72.52689081516665,2.519286877791691,100.0
Vw14c,Vw (Driver E),1582.5,0.403343706517684,0.25218245215070506,29.395297244724215,0.00955386838837288,100.0
Vw15,Vw (Driver E),137.9,137.7388746170826,325.6345568034758,61.30745725231932,77.630401135024,100.0
Vw16a,Vw (Driver E),587.799,1.987370616175895,1.8221157650950603,30.68686961186361,4.557872851141523,100.0
Vw16b,Vw (Driver E),112.50099999999998,39.522445173014745,6.720097365389234,13.075749180939264,35.33002974264507,100.0
Vw17,Vw (Driver E),32.80099999999993,18.399486622226977,25.64958498103282,10.120701138654757,11.762379798959715,100.0
Vw2,Vw (Driver E),5271.199,1.5482220625203815,1.5601808732231055,12.056906770178255,1.551577273906413,100.0
Vw3,Vw (Driver E),386.0009999999993,15.829692888161318,1.5447392379128992,33.23619262884906,10.435885165169587,100.0
Vw4,Vw (Driver E),12652.5,0.1452230243828877,0.009151831750732612,8.971921498360945,0.13282168367062314,100.0
Vw5,Vw (Driver E),101.10100000000057,65.92333679783685,12.046071491013297,29.28235091977217,64.5804140954355,100.0
Vw6,Vw (Driver E),128.0,75.03278687429365,25.82174687862225,45.2694355856868,71.4081518685817,100.0
Vw7,Vw (Driver E),160.09900000000016,29.530610041631476,6.842579758819895,114.30759670837385,72.94314152165452,100.0
Vw8,Vw (Driver E),152.79999999999927,37.63428561786323,16.865319537563277,71.32346732873927,31.003073489694238,100.0
Vw9,Vw (Driver E),55.10100000000057,49.18035642295729,34.38573636683117,9.048457208540897,4.176444073916858,100.0
Y1,Y (Driver D),7028.295,0.08461876506955138,0.13840256451105248,5.491690088574453,2.59169166635254,99.54897915629223
