time,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z,gyro_yaw,gyro_pitch,gyro_roll,orient_yaw,orient_pitch,orient_roll,gps_lat,gps_lon,gps_speed,gps_accuracy,gps_orient,gps_sats,ins_vel_x,ins_vel_y,ins_vel_z,ins_pos_x,ins_pos_y,ins_pos_z,ins_is_reset,_t_sec,true_vel_x,true_vel_y,true_pos_x,true_pos_y,true_speed_ms,true_heading,err_vel_x,err_vel_y,err_pos_x,err_pos_y
1187914.0,-0.0562,0.7708,9.7879,0.0023,-0.0056,9.8066,0.0009,0.0002,-0.0134,66.12,-87.71,71.51,53.060383,-1.759178,0.0,3,358.41,21 / 23,-0.0445930046144012,1.3753884011663455,0.0,0.0,0.0,0.0,False,0.0,-0.0445930046144012,1.3753884011663455,0.0,0.0,1.376111111111111,358.14300000000003,0.0,0.0,0.0,0.0
1188014.0,-0.3215,0.7614,9.8066,0.001,-0.0024,9.8066,0.0061,0.0078,-0.002,65.61,-87.68,70.81,53.060383,-1.759178,0.0,3,358.41,21 / 23,-0.03166783807878535,1.1728088938943066,-0.0007989999999992231,-0.00381304213465586,0.12740986475291674,-3.994999999992482e-05,False,0.09999999999990905,-0.05235617106698786,1.5891377634919865,-0.006682515151833865,0.16679238992128814,1.5900000000016106,358.1130000000149,-0.02068833298820251,0.4163288695976799,-0.002869473017178005,0.0393825251683714
1188114.0,-0.0781,0.8479,9.9041,0.0014,-0.0049,9.8066,-0.0044,0.0099,0.0045,64.25,-87.69,69.67,53.060383,-1.759178,0.0,3,358.41,21 / 23,-0.01803259731245876,1.0030631082858859,0.003460350000006323,-0.006298063904221456,0.23620346486207477,9.311750000061171e-05,False,0.20000000000004547,-0.023848179695149817,1.7078890611527253,-0.006682515151636339,0.33358478055093593,1.7080555555601618,359.19999998938533,-0.005815582382691056,0.7048259528668395,-0.0003844512474148829,0.09738131568886116
1188214.0,-0.1203,0.7392,9.8044,0.0008,-0.0018,9.8066,-0.0045,0.0123,-0.005,62.26,-87.68,67.77,53.060383,-1.759178,0.0,3,358.41,21 / 23,-0.0037042441839954367,0.8507963099311522,0.006987297500001702,-0.007384905979043177,0.3288964357728424,0.0006154998750005379,False,0.2999999999999545,0.003090443392891454,1.863886326820225,-2.886913259469362e-13,0.5226161553239942,1.863888888895417,0.09500001551468813,0.006794687576886891,1.0130900168890729,0.007384905978754486,0.1937197195511518
1188314.0,-0.0103,0.6853,9.7912,0.0024,-0.0029,9.8066,0.002,0.0109,-0.0241,61.69,-87.66,67.04,53.060383,-1.759178,0.0,3,358.41,21 / 23,0.003783379745771172,0.7159252494820152,0.0051869528750004374,-0.007380949200954385,0.40723251374360764,0.0012242123937514753,False,0.40000000000009095,-0.02732499714206122,2.0148147171806756,-0.006682515151833865,0.7227670232313097,2.0150000000090973,359.2230000000061,-0.03110837688783239,1.2988894676986604,0.0006984340491205197,0.31553450948770206
1188415.0,-0.2582,0.8632,9.7849,0.0028,-0.0049,9.8066,0.0046,0.0115,-0.0068,60.33,-87.63,65.49,53.060383,-1.759178,0.0,3,358.41,21 / 23,0.011945420127526673,0.6091052770990499,0.002812099943752245,-0.006586644807353745,0.4741465553358755,0.0016281645610980275,False,0.5009999999999764,-0.025798738791144922,2.1701145438280225,-0.00674934030308592,0.9474919694378824,2.1702694444444317,359.3193100000001,-0.0377441589186716,1.5610092667289726,-0.00016269549573217496,0.47334541410200687
1188515.0,-0.0022,0.7701,9.8191,0.003,-0.0033,9.8066,-0.0006,0.0176,-0.007,59.1,-87.62,64.64,53.060383,-1.759178,0.0,3,358.41,22 / 22,0.022342956832224765,0.5200258063069317,0.0019950349521889598,-0.004872225959363834,0.5306031095062517,0.0018685213058954157,False,0.6010000000001128,-0.054575456445229126,2.307875382994997,-0.013498680580348279,1.1811125109599707,2.3085250000025015,358.64608999998273,-0.07691841327745388,1.7878495766880653,-0.008626454620984445,0.650509401453719
1188615.0,-0.2389,0.8703,9.8026,0.004,-0.0019,9.8066,-0.002,0.0171,-0.0193,57.39,-87.62,63.04,53.060383,-1.759178,0.0,3,358.41,22 / 22,0.03152300988080298,0.4440311519088094,0.002052779709360365,-0.0021789276237148963,0.5788059574169949,0.0020709120389726977,False,0.7010000000000218,-0.10474638110957807,2.4639245124647804,-0.02686371088419834,1.425852544893178,2.466150000003389,357.56571999999915,-0.13626939099038105,2.019893360555971,-0.024684783260483442,0.8470465874761831
1188715.0,-0.0024,0.8185,9.8114,0.0005,-0.0033,9.8066,-0.0019,-0.0013,0.0056,52.7,-87.6,62.3,53.060383,-1.759178,0.0,3,358.41,22 / 22,0.041413001196757046,0.38151031709093797,0.0017746127529563646,0.001467872930159788,0.6200830308669447,0.0022622816620883604,False,0.8009999999999309,-0.11084993160738531,2.579218998796724,-0.0402287411880484,1.6818232647976363,2.5816000000068975,357.5389900000043,-0.15226293280414235,2.197708681705786,-0.041696614118208186,1.0617402339306916
1188814.0,-0.3042,0.8536,9.8087,0.0048,-0.0067,9.8066,-0.0027,0.0168,-0.0102,55.07,-87.56,60.59,53.060383,-1.759178,0.0,3,358.41,22 / 22,0.047259353604017625,0.3303886887476759,0.001794530840013453,0.005857154492805231,0.6553220316560131,0.002438954269940652,False,0.900000000000091,-0.11297140469499696,2.7376700790571475,-0.05346012118810329,1.9570307086359477,2.740000000007981,357.6370000000714,-0.1602307582990146,2.4072813903094716,-0.05931727568090852,1.3017086769799346
1188914.0,-0.1859,0.8896,9.9177,-0.001,-0.0034,9.8066,-0.0046,-0.0036,0.003,53.57,-87.53,59.12,53.060383,-1.759178,0.0,3,358.41,22 / 22,0.050112900528282156,0.294926668807941,0.0063321012140071095,0.010725767199415792,0.6865877995337655,0.0028452858726413107,False,1.0,-0.05790174629813247,2.8744168778685575,-0.05346012118810329,2.246137518047586,2.875,358.846,-0.10801464682641462,2.5794902090606167,-0.06418588838751908,1.5595497185138207
1189015.0,-0.3231,0.7296,9.7585,0.0038,-0.0015,9.8066,0.0007,0.013,0.0076,52.77,-87.52,58.5,53.060383,-1.759178,0.0,3,358.41,22 / 22,0.04755884206871897,0.26246418235384494,0.008082268531909093,0.015658190200569855,0.7147360375174671,0.003573211544810892,False,1.1010000000001128,-0.13339824310887094,2.941284461458039,-0.06709245209813454,2.53835778542404,2.94431388889088,357.4036799999821,-0.1809570851775899,2.678820279104194,-0.0827506422987044,1.8236217479065728
1189115.0,-0.2663,0.7954,9.7863,-0.0025,-0.0047,9.8066,0.0056,-0.0161,0.0127,51.63,-87.51,57.3,53.060383,-1.759178,0.0,3,358.41,22 / 22,0.03988810765913008,0.23518102252469913,0.003958678252125443,0.02003053768695833,0.7396182977613717,0.004175258884012071,False,1.2010000000000218,-0.198614425571078,3.0638274056567645,-0.09368886238912033,2.8498147746396594,3.0702611111151548,356.29062000002244,-0.2385025332302081,2.828646383132065,-0.11371940007607867,2.1101964768782877
1189215.0,0.026,0.9953,9.877,-0.0029,0.0,9.8066,-0.0046,-0.022,0.0129,51.27,-87.47,56.65,53.060383,-1.759178,0.0,3,358.41,22 / 22,0.05129963938074822,0.20742530726428032,0.0054898765143048,0.0245899250389481,0.7617486142508005,0.004647686622333154,False,1.3009999999999309,-0.1647262220028032,3.202522215833724,-0.106987067528013,3.1722800620565907,3.206761111113913,357.05530000004444,-0.21602586138355143,2.9950969085694434,-0.1315769925669611,2.4105314478057904
1189315.0,-0.2581,0.7182,9.7798,-0.0035,-0.0028,9.8066,-0.0088,-0.0156,0.0055,49.68,-87.45,55.49,53.060383,-1.759178,0.0,3,358.41,22 / 22,0.05852023540918887,0.1814923952202004,0.006515145037161671,0.030080918778452446,0.7811944993750511,0.0052479376999072964,False,1.4010000000000673,-0.10981500157781332,3.2706373176678594,-0.11373640783172345,3.4949677393309004,3.272480555563539,358.07688000001093,-0.1683352369870022,3.089144922447659,-0.1438173266101759,2.713773239955849
1189415.0,-0.4189,2.29,8.9415,0.0049,-0.0247,9.8066,-0.0296,0.1143,-0.0568,48.84,-87.41,54.64,53.060383,-1.759178,0.0,3,358.41,22 / 22,0.11006891860328291,0.2477318667005792,-0.03808485496279774,0.03851037647906837,0.8026557124710706,0.003669452203626929,False,1.5009999999999764,-0.10333286887343067,3.4072195504817753,-0.12710143812185834,3.8396720122674686,3.4087861111111044,358.26289,-0.21340178747671357,3.159487683781196,-0.16561181460092672,3.037016299796398
1189514.0,-1.0396,0.9214,9.8539,0.0305,-0.0118,9.8066,0.0334,0.0933,-0.0672,42.87,-87.36,49.09,53.060383,-1.759178,0.0,3,358.41,21 / 22,0.13910383475423874,0.34683645465630886,-0.07857090496277021,0.0508444277702573,0.8320868443782166,-0.0021050079126847593,False,1.599999999999909,-0.1061865005607368,3.4794911977192817,-0.14033281816212587,4.180929241112987,3.4811111111119826,358.25200000000234,-0.24529033531497552,3.132654743062973,-0.19117724593238317,3.3488423967347707
